string_id,sources,decoded_cp949,clean_text,raw_hex,sha256
581,trigger_255_text,"868
668
006
???","868
668
006
???",073836380d0a073636380d0a073030360d0a0f3f3f3f,b2de741c12649259216162941776777a8588005ab624dc84af2eae3f377e0464
586,trigger_263_text,"     F O R T Y
+         T E N
+         T E N
=  S  I  X T Y

S I X = ?","     F O R T Y
+         T E N
+         T E N
=  S  I  X T Y

S I X = ?",07202020202046204f2052205420590d0a072b202020202020202020542045204e0d0a072b202020202020202020542045204e0d0a073d202053202049202058205420590d0a0d0a0f5320492058203d203f,19bfa908d1b080a386d580e959239495d0dc1944e5058d39a01309c2df70462b
595,custom_unit_115_name,Checker,Checker,05436865636b6572,9f32d44a817b9ec2fb0db032af9917ef5e4b15bd6dbb388c1cdfdea0c946da95
771,map_description,"총 스테이지 50단계입니다.
전판을 깨셔야 다음 스테이지로 넘어가실 수 있습니다.
Made by CoOlLuCk-_-","총 스테이지 50단계입니다.
전판을 깨셔야 다음 스테이지로 넘어가실 수 있습니다.
Made by CoOlLuCk-_-",c3d120bdbac5d7c0ccc1f6203530b4dcb0e8c0d4b4cfb4d92e0d0ac0fcc6c7c0bb20b1fabcc5bedf20b4d9c0bd20bdbac5d7c0ccc1f6b7ce20b3d1beeeb0a1bdc720bcf620c0d6bdc0b4cfb4d92e0d0a4d61646520627920436f4f6c4c75436b2d5f2d,3bbc9de20b5c686b1f4a7acb15981afcc6acee7406f5f5a264a148c515dc4e96
881,custom_unit_90_name,Master Key,Master Key,1f4d1e6173746572201f4b1e6579,03b9b0e26560956fe3a39034661b87566d3dcf737f06a5f40b1dafc916a0418c
882,force_1_name,Player[Need Full],Player[Need Full],506c617965725b4e6565642046756c6c5d,be438ec60a24e7825049ac959349af7f1150a3e09b206f53813560dc34c86498
913,trigger_1_text,"











                                                     미궁 50개의 방
                                                   Made by CoOlLuCk-_-





","                                                     미궁 50개의 방
                                                   Made by CoOlLuCk-_-",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202005b9ccb1c3203530b0b3c0c720b9e60d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020054d61646520627920436f4f6c4c75436b2d5f2d0d0a0d0a0d0a0d0a0d0a0d0a,f287e7c3856a5aca4b11082c74aaaa4574383bacbb747675b249a7b5a7ea7d46
959,trigger_176_text,"











스테이지 47 클리어!
ㄷ한자 7, 8, 1 입니다","스테이지 47 클리어!
ㄷ한자 7, 8, 1 입니다",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200434372006c5acb8aebeee210d0a1304a4a7c7d1c0da20372c20382c203120c0d4b4cfb4d9,f92c0c041b44a9591d735b1bee8a5c26572c4049fc4adeeb8e5ce62402042d8c
961,custom_unit_166_name,저는 낚시 중입니다,저는 낚시 중입니다,04c0fab4c220b3acbdc320c1dfc0d4b4cfb4d9,ada06821ce4d24e29daa641c82bafc049c30f0d54142cfad188cb6f55d2b1f12
1105,trigger_136_text,"











스테이지 8 클리어!
키패드에 쳐봤다면 바로 알 수 있었죠.","스테이지 8 클리어!
키패드에 쳐봤다면 바로 알 수 있었죠.",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f62004382006c5acb8aebeee210d0a1304c5b0c6d0b5e5bfa120c3c4bac3b4d9b8e920b9d9b7ce20becb20bcf620c0d6befac1d22e,c875cb2703d982c66196855b33c12798de92d744795d1ac11527d8ec365c196b
1124,trigger_184_text,"478963 = 7
7412365 = 6
963 + 9874563 × 745693 = ?","478963 = 7
7412365 = 6
963 + 9874563 × 745693 = ?",07343738393633203d20370d0a0737343132333635203d20360d0a0f393633202b203938373435363320a1bf20373435363933203d203f,cd21a75a270b634549ac0e4817ad1e8e04a030ba0c82498dffda79f2db574b62
1126,custom_unit_44_name,OOA,OOA,1f4f4f41,4aa92c0fb46b718980b9f5f61679016b060657695c439e70de3df011f355a0fc
1130,trigger_158_text,"











스테이지 30 클리어!
뻐꾸기가 3번 울었으니 3시를 나타내야죠!","스테이지 30 클리어!
뻐꾸기가 3번 울었으니 3시를 나타내야죠!",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200433302006c5acb8aebeee210d0a1304bbb5b2d9b1e2b0a12033b9f820bfefbefac0b8b4cf2033bdc3b8a620b3aac5b8b3bbbedfc1d221,7a987e44b4b3a54bfee095d38e6b22fd4c39532c46de3c4ab44c659733413b53
1131,trigger_202_text,"1+2×3 = 33

3×6+19 = 54

4+2×5+1 = ?","1+2×3 = 33

3×6+19 = 54

4+2×5+1 = ?",07312b32a1bf33203d2033330d0a0d0a0733a1bf362b3139203d2035340d0a0d0a0f342b32a1bf352b31203d203f,7505ae9d59ae9dc776cde001acfdd858b69623aa4228a8a6e4dce3e879a0b618
1309,custom_unit_47_name,혼자두지 말아요 >_<,혼자두지 말아요 >_<,04c8a5c0dab5cec1f620b8bbbec6bfe4203e5f3c,532d89e41008b2bf6902c1c7ee9e5f07e437d0f673eecf95b2242959f8372bc2
1322,custom_unit_170_name,싸움을 말려봐요!!,싸움을 말려봐요!!,04bdcebff2c0bb20b8bbb7c1bac1bfe42121,0b283f6d5973c8a490ef55b6ae567cd3c18bfa701ae065e365327670fb39b9d3
1342,trigger_152_text,"











스테이지 24 클리어!
약간은 다른 사칙연산입니다","스테이지 24 클리어!
약간은 다른 사칙연산입니다",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200432342006c5acb8aebeee210d0a1304bee0b0a3c0ba20b4d9b8a520bbe7c4a2bfacbbeac0d4b4cfb4d9,1497cbcdc0b69178cbb77ef11ad31d393a0ccd9c5e99b30318fe4254f263a343
1348,trigger_1_text,"











                                                     미궁 50개의 방
                                                   Made by CoOlLuCk-_-





","                                                     미궁 50개의 방
                                                   Made by CoOlLuCk-_-",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202006b9ccb1c3203530b0b3c0c720b9e60d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020034d046164652062792006436f4f6c4c75436b2d5f2d0d0a0d0a0d0a0d0a0d0a0d0a,8cff71a16bda2b4b1c4f6131ad44bba05718fb060da5255ca1e7410f04aebdea
1354,trigger_139_text,"











스테이지 11 클리어!
4번째 영역에만 힌트가 있어 약간 다르네요!","스테이지 11 클리어!
4번째 영역에만 힌트가 있어 약간 다르네요!",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200431312006c5acb8aebeee210d0a130434b9f8c2b020bfb5bfaabfa1b8b820c8f9c6aeb0a120c0d6beee20bee0b0a320b4d9b8a3b3d7bfe421,721ff98bd1e338875ae3cbcf3215b5147ea56df7a2362b6512bab0b01e184c68
1357,trigger_1_text,"











                                                     미궁 50개의






",                                                     미궁 50개의,0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202004b9ccb1c3203530b0b3c0c70d0a0d0a0d0a0d0a0d0a0d0a0d0a,ab3ba919b00ec4f029892e07bf8e21346511756e5ade1f3df106bad0229f0e58
1428,trigger_1_text,"











                                                     미구






",                                                     미구,0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202004b9ccb1b80d0a0d0a0d0a0d0a0d0a0d0a0d0a,cecd375b05bd1db763ec747e9c53d646e407c9b4ac341825abb6c2f66f047fd7
1431,custom_unit_125_name,한 공간이 약간 다릅니다,한 공간이 약간 다릅니다,04c7d120b0f8b0a3c0cc20bee0b0a320b4d9b8a8b4cfb4d9,77cedc51c0e2627cb07687d9ce66b9804e7ad661d1e4b59a298a968ab7c20eae
1497,custom_unit_25_name,Edmund Duke(Mode),Edmund Duke(Mode),1f4505646d756e642044756b65284d6f646529,ffa90bd43d9cc6a4491095b3f0b84c425210b26adcd572e7e7e77ad46a59d74b
1582,trigger_125_text,"











스테이지 7 클리어!
무언가가 걸리적 거리네요.","스테이지 7 클리어!
무언가가 걸리적 거리네요.",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f62004372006c5acb8aebeee210d0a1304b9abbef0b0a1b0a120b0c9b8aec0fb20b0c5b8aeb3d7bfe42e,c8ba7eb89e47ea64ae0bfa1c87d6169f54c0265c425895a62730bd9883cbe75b
1590,custom_unit_163_name,다른점 찾기,다른점 찾기,04b4d9b8a5c1a120c3a3b1e2,08ba6764c77ac3f38463b029260026dc833d480dc5b7cea69bc242c12b066b74
1615,trigger_170_text,"











스테이지 41 클리어!
정말 아무것도 없어야합니다","스테이지 41 클리어!
정말 아무것도 없어야합니다",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200434312006c5acb8aebeee210d0a1304c1a4b8bb20bec6b9abb0cdb5b520bef8beeebedfc7d5b4cfb4d9,3b2faff11d0614aaca695c25f6d1123650de007915a38692a7db1e061580d6aa
1616,custom_unit_142_name,당신은 어디 소속이요?,당신은 어디 소속이요?,04b4e7bdc5c0ba20beeeb5f020bcd2bcd3c0ccbfe43f,b851652df283fdb2f4d61657afcd21081edb6abf59cc70f8610fe6466e638beb
2020,trigger_165_text,"











스테이지 37 클리어!
현재 4행 4열의 위치에 있습니다(row는 행, column은 렬입니다)","스테이지 37 클리어!
현재 4행 4열의 위치에 있습니다(row는 행, column은 렬입니다)",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200433372006c5acb8aebeee210d0a1304c7f6c0e72034c7e02034bfadc0c720c0a7c4a1bfa120c0d6bdc0b4cfb4d928726f77b4c220c7e02c20636f6c756d6ec0ba20b7c4c0d4b4cfb4d929,f782774ca1aece3a28a9c9e66788d62eb28fad478f8a8e3935adf1a1285445e1
2035,custom_unit_172_name,8,8,0438,811ae5ec47cc5d6e83ee6b8a8fbd3f7d4b1102e6e39713a43ad00ea7a4d52820
2041,custom_unit_71_name,100,100,04313030,f9ea4ce0d37298d29a288b1c8936e1cb2a4de3a45cd3b348a63bde470304336e
2042,trigger_1_text,"











                                                     미궁 50개의 방






",                                                     미궁 50개의 방,0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202003b9ccb1c3203530b0b3c0c720b9e60d0a0d0a0d0a0d0a0d0a0d0a0d0a,6267490f488b396697f1e91460b9cdb6f2649bf7d8bc0273d2f0855e56658838
2050,trigger_1_text,"











                                                     미궁 50개의 바






",                                                     미궁 50개의 바,0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202004b9ccb1c3203530b0b3c0c720b9d90d0a0d0a0d0a0d0a0d0a0d0a0d0a,4221d53acbbcfb28cbb1740a6121f63e7fe94ca32e1bfde2b1e63b44cbf18003
2081,trigger_138_text,"











스테이지 10 클리어!
연어는 거슬러 올라가는 특성이 있습니다.","스테이지 10 클리어!
연어는 거슬러 올라가는 특성이 있습니다.",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200431302006c5acb8aebeee210d0a1304bfacbeeeb4c220b0c5bdbdb7af20bfc3b6f3b0a1b4c220c6afbcbac0cc20c0d6bdc0b4cfb4d92e,da83c4ad8713992bc4837848c019c993902131cc4d15b9dd328c40b35f2c2608
2198,mission_briefing_text,"미궁 - 50개의 방
Made by CoOlLuCk-_-
힌트는 표시된게 전부입니다 'ㅅ'","미궁 - 50개의 방
Made by CoOlLuCk-_-
힌트는 표시된게 전부입니다 'ㅅ'",06b9ccb1c320042d20033530b0b3c0c720b9e60d0a064d046164652062792003436f4f6c4c75436b2d5f2d0d0a04c8f9c6aeb4c220c7a5bdc3b5c8b0d420c0fcbacec0d4b4cfb4d92027a4b527,bb211a291ff0cac493198ec0cc8ed30db46de542356796be46a8a17c7c726df9
2205,trigger_160_text,"











스테이지 32 클리어!
1부터 했다면 답을 몰랐겠지요","스테이지 32 클리어!
1부터 했다면 답을 몰랐겠지요",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200433322006c5acb8aebeee210d0a130431bacec5cd20c7dfb4d9b8e920b4e4c0bb20b8f4b6fab0dac1f6bfe4,96d44426131a026de763d967b46b65d13eb747ac9086b7ff122a299fe34e303a
2208,custom_unit_70_name,1,1,0431,6a5d09f1edf9de9ad8307d0c4b6571483d661c8a2d07bfbef1e4e75618a332ae
2255,custom_unit_165_name,지옥까지 함께하자,지옥까지 함께하자,04c1f6bfc1b1eec1f620c7d4b2b2c7cfc0da,a2ee4935cee6d6f1813f546732c970fe3ed34487b5bad7646de6f40208ee29ef
2266,custom_unit_3_name,SOACOSSS,SOACOSSS,1f534f41434f535353,d9010965d2ed2a58c872468ec3682ff216f185764e6050e9b9691ca90b892965
2272,custom_unit_41_name,Burrow,Burrow,05427572726f77,466ef381fa9161d49c0fc7f2f98a9e286dd5dd7aef54013b98f89d781688dba4
2273,mission_briefing_wav; trigger_3_wav,staredit\wav\BGM.wav,staredit\wav\BGM.wav,73746172656469745c7761765c42474d2e776176,e89b886a5dd58d4ee54664432a74df77948e8522d71042a9116833ea71f02801
2290,custom_unit_60_name,Initialization,Initialization,05496e697469616c697a6174696f6e,eb3d8767ed27ce196cb339e4f3edc0ab1087fd8709c206eafd0483ecc0964dbe
2304,trigger_159_text,"











스테이지 31 클리어!
당신의 파일런을 보셨다면 아셨을 것입니다","스테이지 31 클리어!
당신의 파일런을 보셨다면 아셨을 것입니다",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200433312006c5acb8aebeee210d0a1304b4e7bdc5c0c720c6c4c0cfb7b1c0bb20bab8bcccb4d9b8e920bec6bcccc0bb20b0cdc0d4b4cfb4d9,cbf8512d33c4e7ad401d2824678287fd0f1331802874cd45f71640b7bf41aad7
2309,trigger_126_wav; trigger_132_wav; trigger_180_wav; trigger_181_wav; trigger_182_wav; trigger_183_wav; trigger_184_wav; trigger_188_wav; trigger_196_wav; trigger_197_wav; trigger_198_wav; trigger_1_wav; trigger_202_wav; trigger_206_wav; trigger_207_wav; trigger_208_wav; trigger_212_wav; trigger_215_wav; trigger_219_wav; trigger_223_wav; trigger_227_wav; trigger_231_wav; trigger_255_wav; trigger_259_wav; trigger_263_wav; trigger_267_wav; trigger_271_wav,staredit\wav\typing.wav,staredit\wav\typing.wav,73746172656469745c7761765c747970696e672e776176,a3b1903611dd4064098fccc3111527f2df8b07ab3e51ded27140df80e3b538b3
2328,trigger_175_text,"











스테이지 46 클리어!
거꾸로 보니 답이 보이는군요","스테이지 46 클리어!
거꾸로 보니 답이 보이는군요",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200434362006c5acb8aebeee210d0a1304b0c5b2d9b7ce20bab8b4cf20b4e4c0cc20bab8c0ccb4c2b1babfe4,8efbfa450a4abea4680f015ae717c88443f358861c00e1c922ffbee73bac54d5
2340,trigger_124_text,"











스테이지 6 클리어!
개를 잡으려면 개 사냥꾼을 불러야죠!","스테이지 6 클리어!
개를 잡으려면 개 사냥꾼을 불러야죠!",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f62004362006c5acb8aebeee210d0a1304b0b3b8a620c0e2c0b8b7c1b8e920b0b320bbe7b3c9b2dbc0bb20bad2b7afbedfc1d221,1286238526f734b35a0fce31d989d5eeac9a720981ac50ddadb5b06e71420a68
2354,custom_unit_151_name,무언가 심오한 변화가,무언가 심오한 변화가,04b9abbef0b0a120bdc9bfc0c7d120baafc8adb0a1,32a6d1a787407a0cfd5d9fbacbcbbe29c9c251ea13b4f53c7bd3138701e57a62
2357,custom_unit_103_name,AA,AA,1f4141,71e4f5d21cfe81b03f2cea996b26b9c347be6f9d73aad2ec98b2be5c5a288fb9
2399,trigger_271_text,10 11 12 13 14 15 16 17 20 22 24 31 100 ???,10 11 12 13 14 15 16 17 20 22 24 31 100 ???,07313020313120313220313320313420313520313620313720323020323220323420333120313030200f3f3f3f,265304143c112f6be46c7d80455929d67b9a246bd29de31ef14051f5b044e802
2407,trigger_223_text,"

- 철수 신상정보 -
생년월일 : x년 2월 7일
성별 : 남성
직업 : S기업 회사원
결혼 유무 : 유

철수는 1981년에 서울대학교 2학년이였다.
철수가 태어난 년도는?
(단, 철수는 한 번에 대학에 붙으며 군대는 면제되었다)","- 철수 신상정보 -
생년월일 : x년 2월 7일
성별 : 남성
직업 : S기업 회사원
결혼 유무 : 유

철수는 1981년에 서울대학교 2학년이였다.
철수가 태어난 년도는?
(단, 철수는 한 번에 대학에 붙으며 군대는 면제되었다)",0d0a0d0a13072d20c3b6bcf620bdc5bbf3c1a4bab8202d0d0a1307bbfdb3e2bff9c0cf203a2078b3e22032bff92037c0cf0d0a1307bcbabab0203a20b3b2bcba0d0a1307c1f7bef7203a2053b1e2bef720c8b8bbe7bff80d0a1307b0e1c8a520c0afb9ab203a20c0af0d0a0d0a07c3b6bcf6b4c22031393831b3e2bfa120bcadbfefb4ebc7d0b1b32032c7d0b3e2c0ccbfb4b4d92e0d0a0fc3b6bcf6b0a120c5c2beeeb3ad20b3e2b5b5b4c23f0d0a0528b4dc2c20c3b6bcf6b4c220c7d120b9f8bfa120b4ebc7d0bfa120bad9c0b8b8e720b1bab4ebb4c220b8e9c1a6b5c7befab4d929,2e9214bb544f27492e6fd46a8805fe2f63003a699de8b297c8e700df6c88bfb3
2482,trigger_6_text,"











힌트를 보고 답을 맞추십시요.
다음 단계로 가기 위해선 현재 스테이지를 클리어하셔야합니다.






","힌트를 보고 답을 맞추십시요.
다음 단계로 가기 위해선 현재 스테이지를 클리어하셔야합니다.",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1306c8f9c6aeb8a620bab8b0ed20b4e4c0bb20b8c2c3dfbdcabdc3bfe42e0d0a1306b4d9c0bd20b4dcb0e8b7ce20b0a1b1e220c0a7c7d8bcb120c7f6c0e720bdbac5d7c0ccc1f6b8a620c5acb8aebeeec7cfbcc5bedfc7d5b4cfb4d92e0d0a0d0a0d0a0d0a0d0a0d0a0d0a,e55fc9a9d1e3fc2ab2de644a71cefa5c943847d164c41e6e7a3de31d5b5fa28f
2489,trigger_100_text; trigger_101_text; trigger_102_text; trigger_103_text; trigger_104_text; trigger_105_text; trigger_106_text; trigger_107_text; trigger_108_text; trigger_109_text; trigger_110_text; trigger_111_text; trigger_112_text; trigger_113_text; trigger_114_text; trigger_115_text; trigger_116_text; trigger_117_text; trigger_118_text; trigger_71_text; trigger_72_text; trigger_73_text; trigger_74_text; trigger_75_text; trigger_76_text; trigger_77_text; trigger_78_text; trigger_79_text; trigger_80_text; trigger_81_text; trigger_82_text; trigger_83_text; trigger_84_text; trigger_85_text; trigger_86_text; trigger_87_text; trigger_88_text; trigger_89_text; trigger_90_text; trigger_91_text; trigger_92_text; trigger_93_text; trigger_94_text; trigger_95_text; trigger_96_text; trigger_97_text; trigger_98_text; trigger_99_text,넘어가실 수 없습니다.,넘어가실 수 없습니다.,06b3d1beeeb0a1bdc720bcf620bef8bdc0b4cfb4d92e,b365d71e403e458f5d70479a73e2e23af3f94bb4bc98d8ba1b16de981d62ad0e
2505,trigger_120_text,"











스테이지 2 클리어!
엔지니어링 베이에서는 바이오닉 업그레이드가 일어나죠!","스테이지 2 클리어!
엔지니어링 베이에서는 바이오닉 업그레이드가 일어나죠!",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f62004322006c5acb8aebeee210d0a1304bfa3c1f6b4cfbeeeb8b520baa3c0ccbfa1bcadb4c220b9d9c0ccbfc0b4d020bef7b1d7b7b9c0ccb5e5b0a120c0cfbeeeb3aac1d221,2067a2bcf230dded431d1832bbad532a433e7f225b2662ff4ef897beb06af448
2623,custom_unit_159_name,으악 껌밟았다!,으악 껌밟았다!,04c0b8bec720b2adb9e2bed2b4d921,015e329d5fce1d291d2f24793ddec41fc8b4c95d3dc62cb70e724e908e54a062
2628,custom_unit_112_name,꼭짓점으로,꼭짓점으로,04b2c0c1fec1a1c0b8b7ce,38c924b5f669ea76d1f64276d10d149f9dec6bee5afd3d0f029eeffe507f3ccc
2632,trigger_196_text,공정한 대결을 추구하십시요!,공정한 대결을 추구하십시요!,1306b0f8c1a4c7d120b4ebb0e1c0bb20c3dfb1b8c7cfbdcabdc3bfe421,8ebb3715828be6286061da856024c8333ef7f88261eda7e43b61d58e6bca96bb
2651,trigger_1_text,"











                                                     미궁 50개






",                                                     미궁 50개,0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202004b9ccb1c3203530b0b30d0a0d0a0d0a0d0a0d0a0d0a0d0a,316136910a317411f2c90e11ae6632c36cfe1e4c81f561e1b19306c950aa0b5f
2660,trigger_169_text,"











스테이지 40 클리어!
이제 40탄을 넘었군요","스테이지 40 클리어!
이제 40탄을 넘었군요",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200434302006c5acb8aebeee210d0a1304c0ccc1a6203430c5bac0bb20b3d1befab1babfe4,81f4c500ed10b27818a0610996173cb468b8214926b250243560b98ae03343b7
2664,trigger_166_text,"











스테이지 38 클리어!
쓰여진 한자는 어긋날 간입니다.","스테이지 38 클리어!
쓰여진 한자는 어긋날 간입니다.",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200433382006c5acb8aebeee210d0a1304beb2bfa9c1f820c7d1c0dab4c220beeeb1dfb3af20b0a3c0d4b4cfb4d92e,d7989c3a185e02c970ca654368c9e3d5fb65a54eab3a7507cd945411d49576bc
2667,trigger_259_text,×÷＋,×÷＋,0fa1bfa1c0a3ab,4f297ee5686b7872d813ebb2f8861b96b7f298f37bc428783609d90d6a32fc72
2674,trigger_126_text,"










이번 스테이지는 답이 되는 수를 산출해내셔야 합니다.
수의 산출을 위해 6시 방향에 산출기가 지급됩니다.","이번 스테이지는 답이 되는 수를 산출해내셔야 합니다.
수의 산출을 위해 6시 방향에 산출기가 지급됩니다.",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1306c0ccb9f820bdbac5d7c0ccc1f6b4c220b4e4c0cc20b5c7b4c220bcf6b8a620bbeac3e2c7d8b3bbbcc5bedf20c7d5b4cfb4d92e0d0a1306bcf6c0c720bbeac3e2c0bb20c0a7c7d82036bdc320b9e6c7e2bfa120bbeac3e2b1e2b0a120c1f6b1deb5cbb4cfb4d92e,9fb15b9df2a41880c28a30a198e061cea5cf055c15e5562e0ae61415432c075a
2677,custom_unit_141_name,One Second Clear Add,One Second Clear Add,044f6e65205365636f6e6420436c65617220416464,5056a440be7c1f29030d1c5d25dbd65a841db551962912ec7509c3184873f802
2683,custom_unit_137_name,Answer,Answer,0e41056e73776572,039c286bcb444046c716b3f379a73a94df4bc60920b7cb4d75fd68558c86e3c5
2689,trigger_177_text,"











스테이지 48 클리어!
조금 어려운 복면산입니다","스테이지 48 클리어!
조금 어려운 복면산입니다",0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a0d0a1303bdbac5d7c0ccc1f6200434382006c5acb8aebeee210d0a1304c1b6b1dd20beeeb7c1bfee20bab9b8e9bbeac0d4b4cfb4d9,55b29772f7b783b79fa70a000241715edd6d1175443e849c939c585c88fb1003
2763,custom_unit_34_name,AACOSS,AACOSS,1f4141434f5353,3c100b319d2b45b1896efb5570fa391f87f6ba81bedc120b0bcdf9a3151f9b37
